timestamp,open,high,low,close,volume,datetime
1758173700,4588.54,4590.29,4583.0,4584.34,12960.864,2025-09-18 05:35:00
1758174000,4584.33,4589.58,4584.33,4587.72,6836.604,2025-09-18 05:40:00
1758174300,4587.72,4589.81,4583.91,4586.55,8276.695,2025-09-18 05:45:00
1758174600,4586.55,4587.55,4584.42,4585.35,2909.579,2025-09-18 05:50:00
1758174900,4585.35,4588.0,4584.1,4587.99,4532.467,2025-09-18 05:55:00
1758175200,4587.99,4592.17,4585.0,4586.56,9339.63,2025-09-18 06:00:00
1758175500,4586.55,4587.54,4581.29,4581.71,8912.092,2025-09-18 06:05:00
1758175800,4581.71,4581.71,4558.01,4561.38,74621.579,2025-09-18 06:10:00
1758176100,4561.38,4571.16,4556.97,4564.01,28184.7,2025-09-18 06:15:00
1758176400,4564.01,4567.57,4562.83,4565.6,9022.011,2025-09-18 06:20:00
1758176700,4565.6,4566.35,4555.0,4557.0,20406.54,2025-09-18 06:25:00
1758177000,4557.0,4563.83,4551.75,4563.83,21511.974,2025-09-18 06:30:00
1758177300,4563.83,4567.96,4562.05,4562.06,10759.413,2025-09-18 06:35:00
1758177600,4562.05,4568.49,4562.05,4566.3,15517.513,2025-09-18 06:40:00
1758177900,4566.3,4571.87,4566.3,4569.89,11258.795,2025-09-18 06:45:00
1758178200,4569.9,4569.9,4562.14,4563.8,6001.03,2025-09-18 06:50:00
1758178500,4563.8,4569.64,4563.8,4569.34,5995.854,2025-09-18 06:55:00
1758178800,4569.33,4575.74,4569.33,4574.57,11991.851,2025-09-18 07:00:00
1758179100,4574.56,4575.11,4571.0,4574.69,10137.45,2025-09-18 07:05:00
1758179400,4574.7,4577.83,4574.69,4576.0,7321.611,2025-09-18 07:10:00
1758179700,4576.01,4580.0,4575.08,4579.65,8023.113,2025-09-18 07:15:00
1758180000,4579.65,4579.65,4569.39,4570.96,11675.032,2025-09-18 07:20:00
1758180300,4570.95,4576.63,4570.56,4576.63,3402.956,2025-09-18 07:25:00
1758180600,4576.62,4579.64,4573.41,4575.2,6443.574,2025-09-18 07:30:00
1758180900,4575.2,4575.21,4571.15,4574.54,3359.209,2025-09-18 07:35:00
1758181200,4574.53,4579.39,4574.53,4578.71,3530.445,2025-09-18 07:40:00
1758181500,4578.72,4581.96,4575.0,4581.48,6893.228,2025-09-18 07:45:00
1758181800,4581.48,4581.49,4575.0,4575.41,4566.349,2025-09-18 07:50:00
1758182100,4575.41,4575.42,4572.59,4573.1,3669.353,2025-09-18 07:55:00
1758182400,4573.11,4578.8,4571.0,4575.13,7885.003,2025-09-18 08:00:00
1758182700,4575.14,4577.59,4569.49,4570.89,5438.311,2025-09-18 08:05:00
1758183000,4570.89,4581.5,4570.74,4581.09,12677.162,2025-09-18 08:10:00
1758183300,4581.09,4584.6,4578.6,4582.99,11028.993,2025-09-18 08:15:00
1758183600,4582.99,4592.99,4582.13,4591.56,17011.894,2025-09-18 08:20:00
1758183900,4591.57,4592.21,4588.0,4590.29,11280.448,2025-09-18 08:25:00
1758184200,4590.29,4591.58,4588.03,4590.68,6681.834,2025-09-18 08:30:00
1758184500,4590.67,4606.49,4590.67,4598.35,26147.244,2025-09-18 08:35:00
1758184800,4598.34,4599.77,4591.6,4591.67,14142.2,2025-09-18 08:40:00
1758185100,4591.66,4598.95,4590.0,4598.95,10513.417,2025-09-18 08:45:00
1758185400,4598.95,4601.12,4596.12,4601.12,7353.963,2025-09-18 08:50:00
1758185700,4601.11,4601.11,4595.86,4599.66,7282.177,2025-09-18 08:55:00
1758186000,4599.65,4600.9,4593.26,4593.73,7724.76,2025-09-18 09:00:00
1758186300,4593.73,4597.54,4590.62,4596.8,5506.248,2025-09-18 09:05:00
1758186600,4596.8,4600.64,4593.62,4593.62,4578.644,2025-09-18 09:10:00
1758186900,4593.62,4601.0,4593.62,4600.17,3749.968,2025-09-18 09:15:00
1758187200,4600.17,4600.58,4597.0,4597.67,3774.649,2025-09-18 09:20:00
1758187500,4597.67,4601.79,4596.0,4599.52,4777.563,2025-09-18 09:25:00
1758187800,4599.52,4602.0,4589.2,4590.45,14316.125,2025-09-18 09:30:00
1758188100,4590.45,4592.95,4588.05,4589.85,9733.335,2025-09-18 09:35:00
